,Bios
964,simpl thing amus and amaz me stop and smell the neighbor rose everi day favorit instrument sitar past nicknam includ the rumin and the macrophag they re unrel mbti is intj prefer chicken bus to limo was fortun to have live abroad and was chang by it humil is the most endear qualiti
965,like guy who know how to be friend first
966,nan
969,play drum and writer do not like hike walk up stair big hill jog chase peopl run from peopl or treadmil get to know me this is whi we cannot have nice thing
970,in sf for coupl of week aussi like art and coffe and wine and beer and danc
971,my general aim in life is to keep thing simpl which is typic pretti difficult this profil is probabl good exampl agon over the detail while keep it loos and not over determinist will probabl make me sound super dri and straightforward ummm success!
972,nan
973,need to rewrit this part of the profil the previous was from few year back so stay tune am annoy abl to talk you in circl and clever
976,nan
977,nan
978,coffe nyt crossword puzzl read novel at the whiskey bar museum lectur indi show bad movi night in short don summar well
983,don need self summeri okcupid has determin in the top 10% of attract peopl
987,pretti chill girl who main like fun things! play guitar danc my pant off laugh hang out natur explor cook learn about awesom thing and snuggl with my kitti
989,from los angel but for some reason speak with bit of twang it get much wors when either nervous or drunk
990,an la girl cultur in dc and the bay live life howev choos rebel without caus
997,detroit nativ still retain some of my detroit sensibl in search of gold made it to the best coast littl over three year ago
998,nan
